

           BASED ON NAD83 (June90 or NMIP94) DATUM           AUG. 6, 1997
         -------------------------------------------
       -  all co-ordinates are in UTM zone 14 unless otherwise stated.
       -  all co-ordinates are NAD83 (June90) unless otherwise stated.
                                                       UTM CO-ORDINATES
       STATION    LOCATION         ZONE  NAD83      EASTING        NORTHING
       7000390      WPG             14   JUNE90    622080.095     5523897.430
       7000391      WPG             14   JUNE90    622061.962     5523900.433
       7000392      WPG             14   JUNE90    622064.234     5523917.987
       7000393      WPG             14   JUNE90    622396.642     5523885.368
       7000394      WPG             14   JUNE90    622376.546     5523886.122
       7000395      WPG             14   JUNE90    622653.479     5524399.108
       7000396      WPG             14   JUNE90    622715.448     5524375.944
       7000397      WPG             14   JUNE90    621688.126     5523932.273
       7000398      WPG             14   JUNE90    633329.501     5534311.693
       7000399      WPG             14   JUNE90    633350.341     5534356.222
       7000400      WPG             14   JUNE90    633452.213     5534081.326
       7000401      WPG             14   JUNE90    621004.695     5524865.081
       7000402      WPG             14   JUNE90    621187.496     5524816.903
       7000403      WPG             14   JUNE90    633060.851     5534042.170
       7000404      WPG             14   JUNE90    621085.788     5524349.644
       7000405      WPG             14   JUNE90    621079.384     5524375.247
       7000406      WPG             14   JUNE90    621065.566     5524327.700
       7000407      WPG             14   JUNE90    620773.076     5523950.081
       7000408      WPG             14   JUNE90    620751.550     5523917.269
       7000409      WPG             14   JUNE90    620779.986     5524083.133
       7000410      WPG             14   JUNE90    620961.305     5524232.382
       7000411      WPG             14   JUNE90    621023.090     5524164.879
       7000412      WPG             14   JUNE90    620900.410     5524176.518
       7000413      WPG             14   JUNE90    621102.197     5524339.383
       7000414      WPG             14   JUNE90    621104.195     5524036.746
       7000415      WPG             14   JUNE90    621093.222     5523675.254
       7000416      WPG             14   JUNE90    621071.241     5523746.821
       7000417      WPG             14   JUNE90    621131.262     5523615.726
       7000418      WPG             14   JUNE90    621111.208     5523616.625
       7000419      WPG             14   JUNE90    621104.727     5523654.697
       7000420      WPG             14   JUNE90    621014.648     5523399.508
       7000421      WPG             14   JUNE90    621121.526     5523394.653
       7000422      WPG             14   JUNE90    621207.026     5523364.190
       7000423      WPG             14   JUNE90    620858.624     5523391.355
       7000424      WPG             14   JUNE90    620679.362     5523399.362
       7000425      WPG             14   JUNE90    620771.666     5523395.217
       7000426      WPG             14   JUNE90    620777.877     5523535.293
